Reference period,Business gross fixed capital formation,Residential structures,"Non-residential structures, machinery and equipment",Non-residential structures,Machinery and equipment,Intellectual property products,Year,Corporate Tax Rate,Machinery and Equipment Investment,Intellectual Property Investment,Building Investment
Q3 2005,284518,105296,144650,72801,71819,34906,2005,0.2212,0.2524233967622435,0.12268468075833515,0.25587484798852794
Q4 2005,290616,105513,149960,74688,75125,35253,2005,0.2212,0.25850262889861536,0.12130440168469733,0.2569989264183665
Q1 2006,296879,109384,153381,76605,76652,34354,2006,0.2212,0.25819273171898316,0.11571717770539512,0.2580344180625777
Q2 2006,299660,108174,157463,79004,78368,34075,2006,0.2212,0.2615230594673964,0.11371220716812387,0.26364546486017487
Q3 2006,299454,105316,159763,81407,78366,34245,2006,0.2212,0.2616962872427819,0.11435813179987578,0.2718514362806975
Q4 2006,300526,105473,160535,82526,78074,34374,2006,0.2212,0.259791166155341,0.1143794546894445,0.27460519222962404
Q1 2007,304803,110258,160308,81636,78678,34234,2007,0.2212,0.25812738063601737,0.1123151675016322,0.2678320095274653
Q2 2007,306531,110897,161145,81460,79663,34486,2007,0.2212,0.25988562331379206,0.11250411866988984,0.2657479993866852
Q3 2007,307195,110546,161699,81772,79905,34946,2007,0.2212,0.2601116554631423,0.11375836195250574,0.266189228340305
Q4 2007,311354,111003,164589,82040,82586,35775,2007,0.2212,0.26524791716181584,0.11490136629046038,0.26349428624652327
Q1 2008,317040,109730,170566,87480,82940,36851,2008,0.195,0.2616073681554378,0.11623454453696694,0.27592732778198337
Q2 2008,314780,107175,170914,88775,81903,36833,2008,0.195,0.2601912446788233,0.11701188131393354,0.28202236482622783
Q3 2008,311652,104761,170815,89252,81283,36234,2008,0.195,0.2608133430878031,0.11626429479034307,0.2863835303479522
Q4 2008,295172,98669,162372,87057,74988,34274,2008,0.195,0.25404848698386023,0.11611534969441546,0.2949365115932405
Q1 2009,259400,92308,137425,74981,62212,30133,2009,0.195,0.23983037779491134,0.11616422513492676,0.2890555127216654
Q2 2009,255626,95591,131568,69999,61289,29221,2009,0.195,0.23976043125503665,0.11431153325561563,0.27383364759453266
Q3 2009,260716,99452,132774,69307,63191,29320,2009,0.195,0.24237484465855566,0.11245953451264978,0.2658333205480293
Q4 2009,271280,105585,136559,69980,66361,30010,2009,0.195,0.24462179298142142,0.11062370982011206,0.25796225302270714
Q1 2010,283063,108591,143967,76688,66768,31433,2010,0.18,0.23587681894136642,0.11104595090138944,0.2709220208928754
Q2 2010,289930,107290,150910,80485,69876,32721,2010,0.18,0.2410098989411237,0.11285827613561894,0.27760149001483114
Q3 2010,294150,105310,156477,85481,70153,33405,2010,0.18,0.23849396566377698,0.11356450790413054,0.29060343362230157
Q4 2010,301191,104577,164324,90816,72459,33448,2010,0.18,0.24057491757721844,0.11105245508663937,0.3015229538731237
Q1 2011,307074,106679,168912,94275,73387,32715,2011,0.165,0.23898799637872303,0.10653783778502901,0.30701068797749076
Q2 2011,312854,106501,173081,93562,78858,34571,2011,0.165,0.252060066356831,0.1105020233079967,0.2990596252565094
Q3 2011,317277,109225,173696,97525,74721,35610,2011,0.165,0.23550714360007186,0.11223631085770479,0.3073812473012541
Q4 2011,323413,110321,178782,101193,75917,35633,2011,0.165,0.2347370080980047,0.11017800768676583,0.3128909474881962
Q1 2012,332590,115067,183017,103908,77326,35836,2012,0.15,0.23249646712168134,0.10774827866141495,0.3124206981568899
Q2 2012,336059,114563,188792,108638,77994,34171,2012,0.15,0.23208424711137032,0.1016815499659286,0.3232706161715651
Q3 2012,335973,113729,189249,109152,77874,34484,2012,0.15,0.23178648284237127,0.1026392001738235,0.32488324954683856
Q4 2012,339497,113615,193327,112756,77979,34130,2012,0.15,0.22968980580093493,0.10053107980335614,0.332126646185386
Q1 2013,341906,112827,196395,115125,78480,34348,2013,0.15,0.22953677326516644,0.10046036044994823,0.33671535451264384
Q2 2013,344723,114701,198244,116737,78547,33446,2013,0.15,0.22785540854541184,0.0970228270234362,0.3386400095148859
Q3 2013,345769,113969,199638,119250,76958,33867,2013,0.15,0.22257056011383322,0.09794689518146509,0.3448834337375531
Q4 2013,348679,113922,202598,120319,78985,33922,2013,0.15,0.22652640394173437,0.0972871896500793,0.3450709678529536
Q1 2014,349880,112673,204708,123281,77645,34317,2014,0.15,0.2219189436378187,0.0980821996112953,0.35235223505201785
Q2 2014,354190,115589,206699,124219,78729,33728,2014,0.15,0.22227900279510998,0.09522572630509049,0.35071289420932267
Q3 2014,359541,118253,209643,125732,80172,33495,2014,0.15,0.2229843049888608,0.09316044623561708,0.3497014248722677
Q4 2014,365078,118707,213776,128086,81908,34498,2014,0.15,0.22435753455425964,0.09449487506779373,0.3508455727269241
Q1 2015,345017,119648,195245,114920,77291,31776,2015,0.15,0.22402084534964944,0.09209980957460068,0.33308503638951126
Q2 2015,337400,119870,187855,110122,74894,31240,2015,0.15,0.2219739181979846,0.09259039715471251,0.3263841138114997
Q3 2015,330639,121445,180073,105718,71610,30592,2015,0.15,0.2165806211608431,0.09252387044480537,0.31973844585786915
Q4 2015,328904,121992,177316,101181,73789,31016,2015,0.15,0.22434813805852163,0.09430107265341862,0.3076307980444142
Q1 2016,323782,124386,170586,96721,71682,30121,2016,0.15,0.22138970047748177,0.0930286427287496,0.2987225973031237
Q2 2016,321335,125073,167468,93321,72217,30031,2016,0.15,0.22474053557813498,0.09345698414427311,0.2904165434826583
Q3 2016,321933,124162,170545,99756,68100,28574,2016,0.15,0.21153469821360346,0.088757598630771,0.30986571740082564
Q4 2016,314827,125500,162481,92470,67851,27984,2016,0.15,0.21551836405390898,0.08888691249479873,0.2937168667236292
Q1 2017,323238,127679,168014,93808,72240,28784,2017,0.15,0.2234885749819019,0.08904893607806012,0.2902134031271076
Q2 2017,326250,127260,171085,95344,73764,29260,2017,0.15,0.22609655172413792,0.08968582375478927,0.29224214559386974
Q3 2017,329279,127233,173570,97402,74058,29912,2017,0.15,0.22490957516270396,0.09084089784043319,0.2958038623781049
Q4 2017,336996,131321,176943,98354,76609,30133,2017,0.15,0.22732910776389037,0.08941649159040463,0.29185509620292227
Q1 2018,338937,127740,181779,100303,79576,31161,2018,0.15,0.23478109501175734,0.09193743970118341,0.29593405264105127
Q2 2018,340190,128092,182622,100852,79846,31237,2018,0.15,0.23471001499162233,0.09182221699638438,0.2964578617831212
